ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,dc_upper,dc_lower,dc_mid,dc_width,dc_width_pct,breakout_up,breakout_down
688981.SH,2026-01-06,129.0,134.2,128.77,131.84,129.95,1.89,1.4544,730696.95,9623978.218,134.2,110.13,122.16499999999999,24.069999999999993,19.70286088486882,False,False
688981.SH,2026-01-07,131.84,132.82,128.85,129.98,131.84,-1.86,-1.4108,598040.86,7783876.099,134.2,110.13,122.16499999999999,24.069999999999993,19.70286088486882,False,False
688981.SH,2026-01-08,128.95,134.68,128.91,130.15,129.98,0.17,0.1308,616918.81,8145423.327,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-09,129.15,130.01,127.77,128.88,130.15,-1.27,-0.9758,511274.88,6581947.276,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-12,128.52,129.62,126.68,127.66,128.88,-1.22,-0.9466,563935.64,7202156.993,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-13,127.49,128.15,122.86,123.63,127.66,-4.03,-3.1568,652072.8,8154109.676,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-14,123.51,127.6,123.5,124.49,123.63,0.86,0.6956,649683.91,8155390.623,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-15,123.49,125.5,122.33,124.44,124.49,-0.05,-0.0402,556604.23,6895087.6,134.68,110.13,122.405,24.55000000000001,20.056370246313477,False,False
688981.SH,2026-01-16,127.5,128.82,124.88,126.99,124.44,2.55,2.0492,756512.57,9597582.828,134.68,112.75,123.715,21.930000000000007,17.726225599159363,False,False
688981.SH,2026-01-19,127.05,128.5,125.12,125.29,126.99,-1.7,-1.3387,477537.02,6024303.737,134.68,113.0,123.84,21.680000000000007,17.50645994832042,False,False
688981.SH,2026-01-20,125.0,125.5,121.81,122.18,125.29,-3.11,-2.4822,508693.59,6261665.024,134.68,114.6,124.64,20.080000000000013,16.110397946084735,False,False
688981.SH,2026-01-21,120.93,128.89,120.58,127.19,122.18,5.01,4.1005,970525.21,12294760.582,134.68,119.02,126.85,15.66000000000001,12.345289712258582,False,False
688981.SH,2026-01-22,128.98,130.82,125.57,126.8,127.19,-0.39,-0.3066,648094.63,8268996.067,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-23,126.8,127.37,124.03,124.96,126.8,-1.84,-1.4511,490631.04,6130483.631,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-26,124.01,125.88,121.9,121.92,124.96,-3.04,-2.4328,502566.5,6184618.809,134.68,120.58,127.63,14.100000000000009,11.047559351249713,False,False
688981.SH,2026-01-27,122.0,125.74,119.22,124.05,121.92,2.13,1.747,655261.57,8023170.134,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-28,124.99,128.99,124.99,128.55,124.05,4.5,3.6276,994583.26,12644229.527,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-29,127.6,127.81,122.16,122.4,128.55,-6.15,-4.7841,715649.35,8897091.559,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
688981.SH,2026-01-30,121.33,124.94,120.07,122.97,122.4,0.57,0.4657,527719.06,6468951.529,134.68,119.22,126.95,15.460000000000008,12.178022843639233,False,False
